GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MergeIntervals,zest,Main,72,0,0,0,6,0,2,0,2,0
MergeIntervals,zest,MergeIntervals,0,80,0,6,0,14,0,6,0,3
